id,type,country_sym,country_long,odometer_km,damage_count,00_abv_120,01_110to120degC,02_100to110degC,03_90to100degC,04_80to90degC,05_70to80degC,06_60to70degC,07_50to60degC,08_40to50degC,09_30to40degC,10_20to30degC,11_10to20degC,12_0to10degC,13_-10to0degC,14_-20to-10degC,15_-30to-20degC,16_-40to-30degC,17_lessThan-40degC
0,ICE,DE,Germany,9901,19802,0,0,0,0,6,420,10317,93117,309162,377612,169672,28046,1705,38,0,0,0,0
1,ICE,DE,Germany,207862,831448,0,0,0,0,132,8829,216611,1954922,6490572,7927603,3562101,588811,35805,801,6,0,0,0
2,ICE,DE,Germany,48542,388336,0,0,0,0,30,2061,50585,456533,1515743,1851332,831857,137505,8361,187,1,0,0,0
3,ICE,DE,Germany,282829,2262632,0,0,0,0,180,12014,294734,2659980,8831446,10786753,4846800,801170,48719,1089,8,0,0,0
4,ICE,DE,Germany,58910,471280,0,0,0,0,37,2502,61389,554043,1839487,2246755,1009532,166874,10147,227,1,0,0,0
5,EM,DE,Germany,147921,1331289,0,0,0,0,0,0,0,0,70,34565,1712197,8539961,4288989,216895,1104,0,0,0
6,ICE,DE,Germany,8488,42440,0,0,0,0,5,360,8845,79828,265041,323721,145457,24043,1462,32,0,0,0,0
7,ICE,DE,Germany,48039,240195,0,0,0,0,30,2040,50061,451802,1500036,1832148,823237,136080,8275,185,1,0,0,0
8,ICE,DE,Germany,7762,15524,0,0,0,0,4,329,8088,73000,242371,296033,133016,21987,1337,29,0,0,0,0
9,ICE,DE,Germany,59668,238672,0,0,0,0,38,2534,62179,561172,1863156,2275664,1022522,169021,10278,229,1,0,0,0
10,ICE,USA,USA,89068,534408,0,0,0,0,56,3783,92817,837676,2781183,3396944,1526345,252303,15342,343,2,0,0,0
11,ICE,USA,USA,15529,31058,0,0,0,0,9,659,16182,146048,484899,592257,266118,43989,2674,59,0,0,0,0
12,ICE,USA,USA,195299,976495,0,0,0,0,124,8295,203519,1836769,6098288,7448465,3346811,553224,33641,752,6,0,0,0
13,EM,USA,USA,46816,280896,0,0,0,0,0,0,0,0,277,33714,692382,2403264,1409865,139789,2342,6,0,0
14,ICE,USA,USA,64762,129524,0,0,0,0,41,2750,67488,609080,2022218,2469943,1109817,183451,11155,249,2,0,0,0
15,ICE,USA,USA,73247,292988,0,0,0,0,46,3111,76330,688881,2287166,2793551,1255223,207487,12617,282,2,0,0,0
16,ICE,USA,USA,207993,415986,0,0,0,0,132,8835,216748,1956154,6494663,7932599,3564346,589182,35828,801,6,0,0,0
17,ICE,USA,USA,69376,624384,0,0,0,0,44,2946,72296,652474,2166292,2645916,1188886,196521,11950,267,2,0,0,0
18,ICE,USA,USA,106927,534635,0,0,0,0,68,4542,111427,1005638,3338837,4078065,1832392,302892,18418,412,3,0,0,0
19,EM,USA,USA,54943,329658,0,0,0,0,0,0,0,3,1104,67679,903119,2624815,1661570,229089,6879,44,0,0
20,ICE,USA,USA,66964,200892,0,0,0,0,42,2844,69782,629790,2090977,2553925,1147552,189689,11535,258,2,0,0,0
21,ICE,USA,USA,141410,1131280,0,0,0,0,90,6006,147362,1329948,4415582,5393205,2423323,400572,24358,544,4,0,0,0
22,ICE,USA,USA,92975,743800,0,0,0,0,59,3949,96888,874421,2903180,3545953,1593299,263370,16015,358,2,0,0,0
23,ICE,USA,USA,55136,275680,0,0,0,0,35,2342,57456,518548,1721643,2102819,944857,156183,9497,212,1,0,0,0
24,ICE,USA,USA,102253,715771,0,0,0,0,65,4343,106557,961680,3192890,3899804,1752295,289652,17613,394,3,0,0,0
25,ICE,NR,Norway,131255,1050040,0,0,0,0,0,51,3831,103894,1036260,3802346,5132630,2548789,465621,31292,773,7,0,0
26,ICE,NR,Norway,40846,367614,0,0,0,0,0,16,1192,32331,322479,1183274,1597252,793172,144899,9738,240,2,0,0
27,ICE,NR,Norway,115888,231776,0,0,0,0,0,45,3383,91730,914937,3357177,4531715,2250383,411107,27628,683,6,0,0
28,ICE,NR,Norway,63973,383838,0,0,0,0,0,25,1867,50637,505067,1853243,2501617,1242266,226941,15251,377,3,0,0
29,ICE,NR,Norway,80892,242676,0,0,0,0,0,32,2361,64029,638643,2343372,3163222,1570809,286961,19285,476,4,0,0
30,EM,NR,Norway,39886,199430,0,0,0,0,0,0,5,1995,119097,1201168,2047517,589891,28723,236,0,0,0,0
31,ICE,NR,Norway,20658,123948,0,0,0,0,0,8,603,16351,163095,598444,807815,401149,73283,4925,121,1,0,0
32,ICE,NR,Norway,8303,49818,0,0,0,0,0,3,242,6572,65552,240530,324682,161232,29454,1979,48,0,0,0
33,ICE,NR,Norway,77876,155752,0,0,0,0,0,30,2273,61642,614832,2256001,3045284,1512243,276261,18566,459,4,0,0
34,ICE,NR,Norway,66269,596421,0,0,0,0,0,26,1934,52454,523194,1919756,2591400,1286851,235086,15799,390,3,0,0
35,EM,NR,Norway,8884,71072,0,0,0,0,0,0,0,108,15684,260891,499143,109843,2780,8,0,0,0,0
36,ICE,NR,Norway,333964,1669820,0,0,0,0,0,132,9749,264347,2636651,9674654,13059418,6485115,1184723,79619,1968,17,0,0
37,ICE,NR,Norway,37951,227706,0,0,0,0,0,15,1107,30039,299623,1099408,1484046,736955,134629,9047,223,2,0,0
38,ICE,NR,Norway,315966,2843694,0,0,0,0,0,125,9224,250101,2494556,9153268,12355619,6135619,1120876,75329,1862,16,0,0
39,ICE,NR,Norway,149633,598532,0,0,0,0,0,59,4368,118441,1181354,4334741,5851289,2905664,530816,35673,881,8,0,0
40,ICE,NR,Norway,268026,2144208,0,0,0,0,0,106,7824,212154,2116069,7764486,10480960,5204691,950811,63899,1579,14,0,0
41,ICE,NR,Norway,7234,43404,0,0,0,0,0,2,211,5726,57112,209562,282880,140474,25662,1724,42,0,0,0
42,EM,NR,Norway,10663,53315,0,0,0,0,0,0,0,102,17195,311262,607247,127685,2893,7,0,0,0,0
43,ICE,NR,Norway,17895,143160,0,0,0,0,0,7,522,14164,141281,518403,699770,347495,63481,4266,105,0,0,0
44,ICE,NR,Norway,92425,554550,0,0,0,0,0,36,2698,73158,729696,2677474,3614212,1794764,327873,22034,544,4,0,0
45,ICE,NR,Norway,103661,310983,0,0,0,0,0,41,3026,82052,818405,3002971,4053587,2012952,367733,24713,611,5,0,0
46,ICE,NR,Norway,3478,31302,0,0,0,0,0,1,101,2752,27458,100754,136004,67537,12338,829,20,0,0,0
47,ICE,NR,Norway,93346,653422,0,0,0,0,0,36,2725,73887,736968,2704154,3650227,1812649,331141,22254,550,5,0,0
48,ICE,NR,Norway,78398,627184,0,0,0,0,0,31,2288,62055,618953,2271123,3065696,1522379,278113,18690,462,4,0,0
49,ICE,NR,Norway,84733,254199,0,0,0,0,0,33,2473,67069,668968,2454643,3313422,1645396,300586,20201,499,4,0,0
50,ICE,NR,Norway,124366,746196,0,0,0,0,0,49,3630,98441,981871,3602777,4863241,2415014,441183,29649,733,6,0,0
51,ICE,IN,India,166974,1335792,0,0,1,169,10217,226800,1852089,5563984,6149153,2500059,373930,20574,416,3,0,0,0,0
52,ICE,IN,India,302343,1511715,0,0,1,306,18500,410671,3353613,10074812,11134389,4526905,677082,37255,754,5,0,0,0,0
53,ICE,IN,India,11043,88344,0,0,0,11,675,14999,122489,367979,406680,165344,24730,1360,27,0,0,0,0,0
54,ICE,IN,India,245531,1227655,0,0,1,248,15024,333504,2723450,8181696,9042173,3676273,549855,30254,612,4,0,0,0,0
55,ICE,IN,India,920,1840,0,0,0,0,56,1249,10204,30656,33880,13774,2060,113,2,0,0,0,0,0
56,ICE,IN,India,255351,2298159,0,0,1,258,15624,346842,2832374,8508923,9403814,3823305,571846,31464,636,4,0,0,0,0
